['p5', '00:01:07', 'pan', 'geo-0-1', '3', '-2', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '5', '-1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '8', '-1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '5', '-1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '-511', '0', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '2', '1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '-2', '1', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '507', '2', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '-18', '3', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '-6', '0', 'Sensemaking']
