p5,00:00:00,clear,undefined,undefined
p5,00:01:56,pan,geo-0-1,0,-1
p5,00:01:56,pan,geo-0-1,-1,-1
p5,00:01:56,pan,geo-0-1,-2,0
p5,00:01:56,pan,geo-0-1,-1,0
p5,00:01:56,pan,geo-0-1,0,0
p5,00:01:56,pan,geo-0-1,-1,0
p5,00:01:56,pan,geo-0-1,0,0
p5,00:01:56,pan,geo-0-1,-1,1
p5,00:01:56,pan,geo-0-1,-1,0
p5,00:01:57,pan,geo-0-1,-17,1
p5,00:01:57,pan,geo-0-1,-13,0
p5,00:01:57,pan,geo-0-1,-9,0
p5,00:01:57,pan,geo-0-1,-6,-1
p5,00:01:57,pan,geo-0-1,-4,-1
p5,00:01:57,pan,geo-0-1,-3,-1
p5,00:01:57,pan,geo-0-1,-3,0
p5,00:01:57,pan,geo-0-1,-16,0
p5,00:01:57,pan,geo-0-1,-4,0
p5,00:01:57,pan,geo-0-1,-8,-2
p5,00:01:58,pan,geo-0-1,-1,-1
p5,00:01:58,pan,geo-0-1,1,0
p5,00:01:58,pan,geo-0-1,0,0
p5,00:01:58,pan,geo-0-1,0,-1
p5,00:01:59,pan,geo-0-1,1,-1
p5,00:01:59,pan,geo-0-1,0,0
p5,00:01:59,pan,geo-0-1,1,-1
p5,00:01:59,pan,geo-0-1,0,0
p5,00:01:59,pan,geo-0-1,1,0
p5,00:01:59,pan,geo-0-1,0,0
p5,00:01:59,pan,geo-0-1,1,-1
p5,00:01:59,pan,geo-0-1,0,0
p5,00:01:59,pan,geo-0-1,1,0
p5,00:01:59,pan,geo-0-1,0,-1
p5,00:01:59,pan,geo-0-1,1,0
p5,00:01:59,pan,geo-0-1,1,-1
p5,00:01:59,pan,geo-0-1,1,0
p5,00:01:59,pan,geo-0-1,2,-1
p5,00:02:00,pan,geo-0-1,12,0
p5,00:02:00,pan,geo-0-1,3,0
p5,00:02:00,pan,geo-0-1,6,0
p5,00:02:00,pan,geo-0-1,7,0
p5,00:02:00,pan,geo-0-1,5,1
p5,00:02:00,pan,geo-0-1,10,3
p5,00:02:00,pan,geo-0-1,5,0
p5,00:02:00,pan,geo-0-1,4,0
p5,00:02:00,pan,geo-0-1,2,1
p5,00:02:00,pan,geo-0-1,2,0
p5,00:02:00,pan,geo-0-1,0,1
p5,00:02:01,pan,geo-0-1,0,0
p5,00:02:01,pan,geo-0-1,1,0
p5,00:02:01,pan,geo-0-1,0,0
p5,00:02:01,pan,geo-0-1,2,0
p5,00:02:01,pan,geo-0-1,0,1
p5,00:02:01,pan,geo-0-1,0,0
p5,00:02:01,pan,geo-0-1,0,1
p5,00:02:01,pan,geo-0-1,1,0
p5,00:02:01,pan,geo-0-1,0,0
p5,00:02:02,pan,geo-0-1,0,1
p5,00:02:02,pan,geo-0-1,0,0
p5,00:02:02,pan,geo-0-1,-1,1
p5,00:02:02,pan,geo-0-1,0,0
p5,00:02:02,pan,geo-0-1,-1,0
p5,00:02:02,pan,geo-0-1,-1,1
p5,00:02:02,pan,geo-0-1,-1,0
p5,00:02:02,pan,geo-0-1,-1,1
p5,00:02:02,pan,geo-0-1,-2,1
p5,00:02:02,pan,geo-0-1,-1,0
p5,00:02:02,pan,geo-0-1,-1,1
p5,00:02:02,pan,geo-0-1,-1,0
p5,00:02:02,pan,geo-0-1,0,1
p5,00:02:02,pan,geo-0-1,-1,0
p5,00:02:02,pan,geo-0-1,-2,1
p5,00:02:02,pan,geo-0-1,-1,1
p5,00:02:03,pan,geo-0-1,0,0
p5,00:02:14,pan,geo-0-1,2,0
p5,00:02:14,pan,geo-0-1,1,0
p5,00:02:14,pan,geo-0-1,2,0
p5,00:02:14,pan,geo-0-1,3,0
p5,00:02:14,pan,geo-0-1,1,0
p5,00:02:14,pan,geo-0-1,0,0
p5,00:02:14,pan,geo-0-1,0,1
p5,00:02:14,pan,geo-0-1,0,0
p5,00:02:16,pan,geo-0-1,0,2
p5,00:02:16,pan,geo-0-1,0,3
p5,00:02:16,pan,geo-0-1,-1,2
p5,00:02:16,pan,geo-0-1,-1,3
p5,00:02:16,pan,geo-0-1,0,0
p5,00:02:17,pan,geo-0-1,0,1
p5,00:02:17,pan,geo-0-1,0,2
p5,00:02:17,pan,geo-0-1,0,4
p5,00:02:17,pan,geo-0-1,0,7
p5,00:02:17,pan,geo-0-1,0,9
p5,00:02:17,pan,geo-0-1,0,4
p5,00:02:18,pan,geo-0-1,0,0
p5,00:02:20,range select,bar-5,5-0-0-1_
p5,00:02:25,range select,bar-5,5-1-1-1_
p5,00:02:26,range select,bar-5,5-2-2-1_
p5,00:02:27,range select,bar-5,5-3-3-1_
p5,00:02:28,range select,bar-5,5-4-4-1_
p5,00:02:30,range select,bar-5,5-2-2-1_
p5,00:02:31,range select,bar-5,5-0-0-1_
p5,00:02:44,range select,bar-5,5-1-1-1_
p5,00:02:47,range select,bar-5,5-2-2-1_
p5,00:02:49,range select,bar-5,5-3-3-1_
p5,00:02:55,pan,geo-0-1,0,0
p5,00:02:55,pan,geo-0-1,3,-3
p5,00:02:55,pan,geo-0-1,17,-15
p5,00:02:55,pan,geo-0-1,5,-5
p5,00:02:55,pan,geo-0-1,4,-3
p5,00:02:55,pan,geo-0-1,2,-3
p5,00:02:55,pan,geo-0-1,1,-2
p5,00:02:56,pan,geo-0-1,0,0
p5,00:02:57,pan,geo-0-1,-3,0
p5,00:02:57,pan,geo-0-1,-5,1
p5,00:02:57,pan,geo-0-1,-21,0
p5,00:02:57,pan,geo-0-1,-14,-2
p5,00:02:57,pan,geo-0-1,-2,0
p5,00:02:57,pan,geo-0-1,-1,1
p5,00:02:58,pan,geo-0-1,0,0
p5,00:02:58,pan,geo-0-1,3,-3
p5,00:02:58,pan,geo-0-1,2,-2
p5,00:02:58,pan,geo-0-1,3,-2
p5,00:02:58,pan,geo-0-1,3,-3
p5,00:02:58,pan,geo-0-1,2,-1
p5,00:02:58,pan,geo-0-1,3,-2
p5,00:02:58,pan,geo-0-1,1,-1
p5,00:02:58,pan,geo-0-1,0,-1
p5,00:02:58,pan,geo-0-1,1,0
p5,00:02:58,pan,geo-0-1,0,0
p5,00:02:58,pan,geo-0-1,0,-1
p5,00:02:59,pan,geo-0-1,0,0
p5,00:03:02,range select,bar-5,5-4-4-1_
p5,00:03:15,range select,bar-5,5-5-5-1_
p5,00:03:16,range select,bar-5,5-6-6-1_
p5,00:03:20,range select,bar-5,5-7-7-1_
p5,00:03:21,range select,bar-5,5-0-0-1_
p5,00:03:22,range select,bar-5,5-2-2-1_
p5,00:03:25,range select,bar-5,5-8-8-1_
