['p8', '01:02:12', 'pan', 'geo-0-1', '0', '1', 'Question']
['p8', '01:02:12', 'pan', 'geo-0-1', '0', '0', 'Question']
['p8', '01:02:12', 'clear', 'undefined', 'undefined', 'Question']
['p8', '01:02:12', 'brush', 'hist-3', '3-8-8-0_', 'Question']
['p8', '01:02:12', 'brush', 'hist-3', '3-7-7-0_', 'Question']
['p8', '01:02:12', 'brush', 'hist-3', '3-6-6-0_', 'Question']
['p8', '01:02:12', 'brush', 'hist-3', '3-5-5-0_', 'Question']
['p8', '01:02:12', 'brush', 'hist-3', '3-4-4-0_', 'Question']
['p8', '01:02:12', 'brush', 'hist-3', '3-3-3-0_', 'Question']
['p8', '01:02:12', 'brush', 'hist-3', '3-2-2-0_', 'Question']
['p8', '01:02:13', 'brush', 'hist-3', '3-1-1-0_', 'Question']
['p8', '01:02:13', 'brush', 'hist-3', '3-0-0-0_', 'Question']
['p8', '01:02:13', 'clear', 'undefined', 'undefined', 'Question']
['p8', '01:02:13', 'brush', 'hist-3', '3-0-0-0_', 'Question']
['p8', '01:02:15', 'brush', 'hist-3', '3-1-1-0_', 'Question']
['p8', '01:02:16', 'brush', 'hist-3', '3-2-2-0_', 'Question']
['p8', '01:02:18', 'brush', 'hist-3', '3-3-3-0_', 'Question']
['p8', '01:02:19', 'brush', 'hist-3', '3-4-4-0_', 'Question']
['p8', '01:02:21', 'brush', 'hist-3', '3-5-5-0_', 'Question']
['p8', '01:02:23', 'brush', 'hist-3', '3-6-6-0_', 'Question']
['p8', '01:02:24', 'brush', 'hist-3', '3-7-7-0_', 'Question']
['p8', '01:02:26', 'brush', 'hist-3', '3-8-8-0_', 'Question']
['p8', '01:02:28', 'brush', 'hist-3', '3-9-9-0_', 'Question']
['p8', '01:02:29', 'brush', 'hist-3', '3-10-10-0_', 'Question']
['p8', '01:02:31', 'brush', 'hist-3', '3-11-11-0_', 'Question']
['p8', '01:02:34', 'brush', 'hist-3', '3-12-12-0_', 'Question']
['p8', '01:02:36', 'brush', 'hist-3', '3-11-11-0_', 'Question']
['p8', '01:02:36', 'brush', 'hist-3', '3-10-10-0_', 'Question']
['p8', '01:02:36', 'brush', 'hist-3', '3-9-9-0_', 'Question']
['p8', '01:02:36', 'brush', 'hist-3', '3-8-8-0_', 'Question']
['p8', '01:02:36', 'clear', 'undefined', 'undefined', 'Question']
['p8', '01:02:37', 'brush', 'hist-3', '3-0-0-0_', 'Question']
['p8', '01:02:37', 'clear', 'undefined', 'undefined', 'Question']
['p8', '01:02:37', 'brush', 'hist-2', '2-12-12-0_', 'Question']
['p8', '01:02:37', 'brush', 'hist-2', '2-11-11-0_', 'Question']
['p8', '01:02:37', 'clear', 'undefined', 'undefined', 'Question']
['p8', '01:02:43', 'brush', 'hist-2', '2-2-2-0_', 'Question']
['p8', '01:02:43', 'brush', 'hist-2', '2-1-1-0_', 'Question']
['p8', '01:02:43', 'brush', 'hist-2', '2-0-0-0_', 'Question']
['p8', '01:02:46', 'range select', 'hist-2', '2-0-0-0_', 'Question']
['p8', '01:03:22', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p8', '01:03:22', 'brush', 'hist-4', '4-23-23-0_', 'Sensemaking']
['p8', '01:03:22', 'brush', 'hist-4', '4-19-19-0_', 'Sensemaking']
['p8', '01:03:22', 'brush', 'hist-4', '4-15-15-0_', 'Sensemaking']
['p8', '01:03:22', 'brush', 'hist-4', '4-12-12-0_', 'Sensemaking']
['p8', '01:03:22', 'brush', 'hist-4', '4-8-8-0_', 'Sensemaking']
['p8', '01:03:22', 'brush', 'hist-3', '3-22-22-0_', 'Sensemaking']
['p8', '01:03:22', 'brush', 'hist-3', '3-11-11-0_', 'Sensemaking']
['p8', '01:03:22', 'brush', 'hist-3', '3-5-5-0_', 'Sensemaking']
['p8', '01:03:22', 'brush', 'hist-3', '3-2-2-0_', 'Sensemaking']
['p8', '01:03:23', 'brush', 'hist-3', '3-1-1-0_', 'Sensemaking']
['p8', '01:03:23', 'brush', 'hist-3', '3-0-0-0_', 'Sensemaking']
['p8', '01:03:23', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p8', '01:03:23', 'brush', 'hist-3', '3-0-0-0_', 'Sensemaking']
['p8', '01:03:23', 'brush', 'hist-3', '3-1-1-0_', 'Sensemaking']
['p8', '01:03:23', 'brush', 'hist-3', '3-2-2-0_', 'Sensemaking']
['p8', '01:03:23', 'brush', 'hist-3', '3-3-3-0_', 'Sensemaking']
['p8', '01:03:23', 'brush', 'hist-3', '3-4-4-0_', 'Sensemaking']
['p8', '01:03:23', 'brush', 'hist-3', '3-5-5-0_', 'Sensemaking']
['p8', '01:03:24', 'brush', 'hist-3', '3-6-6-0_', 'Sensemaking']
['p8', '01:03:24', 'brush', 'hist-3', '3-7-7-0_', 'Sensemaking']
['p8', '01:03:24', 'brush', 'hist-3', '3-8-8-0_', 'Sensemaking']
['p8', '01:03:25', 'brush', 'hist-3', '3-9-9-0_', 'Sensemaking']
['p8', '01:03:26', 'brush', 'hist-3', '3-10-10-0_', 'Sensemaking']
['p8', '01:03:26', 'brush', 'hist-3', '3-11-11-0_', 'Sensemaking']
['p8', '01:03:27', 'brush', 'hist-3', '3-12-12-0_', 'Sensemaking']
['p8', '01:03:28', 'brush', 'hist-3', '3-13-13-0_', 'Sensemaking']
['p8', '01:03:29', 'brush', 'hist-3', '3-14-14-0_', 'Sensemaking']
['p8', '01:03:30', 'brush', 'hist-3', '3-15-15-0_', 'Sensemaking']
['p8', '01:03:31', 'brush', 'hist-3', '3-16-16-0_', 'Sensemaking']
['p8', '01:03:31', 'brush', 'hist-3', '3-17-17-0_', 'Sensemaking']
['p8', '01:03:32', 'brush', 'hist-3', '3-18-18-0_', 'Sensemaking']
['p8', '01:03:33', 'brush', 'hist-3', '3-19-19-0_', 'Sensemaking']
['p8', '01:03:33', 'brush', 'hist-3', '3-20-20-0_', 'Sensemaking']
['p8', '01:03:34', 'brush', 'hist-3', '3-21-21-0_', 'Sensemaking']
['p8', '01:03:35', 'brush', 'hist-3', '3-22-22-0_', 'Sensemaking']
['p8', '01:03:36', 'brush', 'hist-3', '3-23-23-0_', 'Sensemaking']
['p8', '01:03:36', 'brush', 'hist-3', '3-24-24-0_', 'Sensemaking']
['p8', '01:03:36', 'brush', 'hist-3', '3-25-25-0_', 'Sensemaking']
['p8', '01:03:37', 'brush', 'hist-3', '3-26-26-0_', 'Sensemaking']
['p8', '01:03:37', 'brush', 'hist-3', '3-27-27-0_', 'Sensemaking']
['p8', '01:03:37', 'brush', 'hist-3', '3-28-28-0_', 'Sensemaking']
['p8', '01:03:38', 'brush', 'hist-3', '3-29-29-0_', 'Sensemaking']
['p8', '01:03:38', 'brush', 'hist-3', '3-30-30-0_', 'Sensemaking']
['p8', '01:03:38', 'brush', 'hist-3', '3-31-31-0_', 'Sensemaking']
['p8', '01:03:38', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p8', '01:03:38', 'brush', 'hist-3', '3-31-31-0_', 'Sensemaking']
['p8', '01:03:38', 'brush', 'hist-3', '3-30-30-0_', 'Sensemaking']
['p8', '01:03:39', 'brush', 'hist-3', '3-29-29-0_', 'Sensemaking']
['p8', '01:03:39', 'brush', 'hist-3', '3-28-28-0_', 'Sensemaking']
['p8', '01:03:40', 'brush', 'hist-3', '3-27-27-0_', 'Sensemaking']
['p8', '01:03:40', 'brush', 'hist-3', '3-26-26-0_', 'Sensemaking']
['p8', '01:03:41', 'brush', 'hist-3', '3-25-25-0_', 'Sensemaking']
['p8', '01:03:41', 'brush', 'hist-3', '3-24-24-0_', 'Sensemaking']
['p8', '01:03:42', 'brush', 'hist-3', '3-23-23-0_', 'Sensemaking']
['p8', '01:03:42', 'brush', 'hist-3', '3-22-22-0_', 'Sensemaking']
['p8', '01:03:43', 'brush', 'hist-3', '3-21-21-0_', 'Sensemaking']
['p8', '01:03:43', 'brush', 'hist-3', '3-20-20-0_', 'Sensemaking']
['p8', '01:03:44', 'brush', 'hist-3', '3-19-19-0_', 'Sensemaking']
['p8', '01:03:45', 'brush', 'hist-3', '3-18-18-0_', 'Sensemaking']
['p8', '01:03:45', 'brush', 'hist-3', '3-17-17-0_', 'Sensemaking']
['p8', '01:03:49', 'brush', 'hist-3', '3-16-16-0_', 'Sensemaking']
['p8', '01:03:49', 'brush', 'hist-3', '3-17-17-0_', 'Sensemaking']
['p8', '01:03:51', 'brush', 'hist-3', '3-16-16-0_', 'Sensemaking']
['p8', '01:03:51', 'brush', 'hist-3', '3-17-17-0_', 'Sensemaking']
['p8', '01:03:57', 'brush', 'hist-3', '3-16-16-0_', 'Sensemaking']
['p8', '01:03:58', 'brush', 'hist-3', '3-17-17-0_', 'Sensemaking']
['p8', '01:03:58', 'brush', 'hist-3', '3-18-18-0_', 'Sensemaking']
['p8', '01:03:58', 'brush', 'hist-3', '3-17-17-0_', 'Sensemaking']
['p8', '01:04:00', 'brush', 'hist-3', '3-18-18-0_', 'Sensemaking']
['p8', '01:04:01', 'brush', 'hist-3', '3-17-17-0_', 'Sensemaking']
['p8', '01:04:12', 'brush', 'hist-3', '3-18-18-0_', 'Sensemaking']
['p8', '01:04:12', 'brush', 'hist-3', '3-17-17-0_', 'Sensemaking']
['p8', '01:04:12', 'brush', 'hist-3', '3-15-15-0_', 'Sensemaking']
['p8', '01:04:13', 'brush', 'hist-3', '3-16-16-0_', 'Sensemaking']
['p8', '01:04:13', 'brush', 'hist-3', '3-15-15-0_', 'Sensemaking']
['p8', '01:04:13', 'brush', 'hist-3', '3-14-14-0_', 'Sensemaking']
['p8', '01:04:13', 'brush', 'hist-3', '3-15-15-0_', 'Sensemaking']
['p8', '01:04:14', 'brush', 'hist-3', '3-16-16-0_', 'Sensemaking']
['p8', '01:04:15', 'brush', 'hist-3', '3-15-15-0_', 'Sensemaking']
['p8', '01:04:16', 'brush', 'hist-3', '3-16-16-0_', 'Sensemaking']
['p8', '01:04:17', 'brush', 'hist-3', '3-15-15-0_', 'Sensemaking']
['p8', '01:04:17', 'brush', 'hist-3', '3-14-14-0_', 'Sensemaking']
['p8', '01:04:17', 'brush', 'hist-3', '3-15-15-0_', 'Sensemaking']
