['p12', '00:27:28', 'pan', 'geo-0-1', '2', '0', 'Question']
['p12', '00:27:28', 'pan', 'geo-0-1', '3', '0', 'Question']
['p12', '00:27:28', 'pan', 'geo-0-1', '1', '0', 'Question']
['p12', '00:27:29', 'pan', 'geo-0-1', '2', '0', 'Question']
['p12', '00:27:29', 'pan', 'geo-0-1', '1', '0', 'Question']
['p12', '00:27:29', 'pan', 'geo-0-1', '0', '0', 'Question']
['p12', '00:27:31', 'pan', 'geo-0-1', '-3', '0', 'Question']
['p12', '00:27:31', 'pan', 'geo-0-1', '-9', '0', 'Question']
['p12', '00:27:31', 'pan', 'geo-0-1', '-13', '0', 'Question']
['p12', '00:27:31', 'pan', 'geo-0-1', '-16', '0', 'Question']
['p12', '00:27:31', 'pan', 'geo-0-1', '-19', '0', 'Question']
['p12', '00:27:31', 'pan', 'geo-0-1', '-15', '0', 'Question']
['p12', '00:27:31', 'pan', 'geo-0-1', '-11', '-1', 'Question']
['p12', '00:27:31', 'pan', 'geo-0-1', '-8', '1', 'Question']
['p12', '00:27:31', 'clear', 'undefined', 'undefined', 'Question']
['p12', '00:27:31', 'pan', 'geo-0-1', '-6', '0', 'Question']
['p12', '00:27:31', 'pan', 'geo-0-1', '0', '0', 'Question']
['p12', '00:27:31', 'clear', 'undefined', 'undefined', 'Question']
['p12', '00:27:32', 'pan', 'geo-0-1', '0', '0', 'Question']
['p12', '00:27:32', 'pan', 'geo-0-1', '-7', '0', 'Question']
['p12', '00:27:32', 'pan', 'geo-0-1', '-15', '0', 'Question']
['p12', '00:27:32', 'pan', 'geo-0-1', '-20', '1', 'Question']
['p12', '00:27:32', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x2-0-11-0', 'Question']
['p12', '00:27:32', 'pan', 'geo-0-1', '-152', '0', 'Question']
['p12', '00:27:32', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x3-0-30-0', 'Question']
['p12', '00:27:32', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x4-0-23-0', 'Question']
['p12', '00:27:32', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x5-0-29-1', 'Question']
['p12', '00:27:32', 'tile cached', 'undefined', '0-1280-1535-4x1-512-767-4x4-0-23-0', 'Question']
['p12', '00:27:32', 'tile cached', 'undefined', '0-1280-1535-4x1-768-1023-4x4-0-23-0', 'Question']
['p12', '00:27:32', 'pan', 'geo-0-1', '-43', '0', 'Question']
['p12', '00:27:32', 'pan', 'geo-0-1', '-7', '0', 'Question']
['p12', '00:27:32', 'pan', 'geo-0-1', '0', '0', 'Question']
['p12', '00:27:32', 'tile cached', 'undefined', '0-1024-1279-4x1-768-1023-4x4-0-23-0', 'Question']
['p12', '00:27:32', 'tile cached', 'undefined', '0-1024-1279-4x1-512-767-4x4-0-23-0', 'Question']
['p12', '00:27:35', 'pan', 'geo-0-1', '-221', '388', 'Question']
['p12', '00:27:36', 'zoom', 'geo-0-1', '4', 'Question']
['p12', '00:27:36', 'pan', 'geo-0-1', '0', '0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-512-767-4x1-1280-1535-4x4-0-23-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-768-1023-4x1-1280-1535-4x4-0-23-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-512-767-4x1-1536-1791-4x4-0-23-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1024-1279-4x1-1280-1535-4x4-0-23-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-768-1023-4x1-1536-1791-4x4-0-23-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1280-1535-4x1-1280-1535-4x4-0-23-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1024-1279-4x1-1536-1791-4x4-0-23-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1536-1791-4x1-1280-1535-4x4-0-23-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1280-1535-4x1-1536-1791-4x4-0-23-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1792-2047-4x1-1280-1535-4x4-0-23-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1536-1791-4x1-1536-1791-4x4-0-23-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1792-2047-4x1-1536-1791-4x4-0-23-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x2-0-11-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x2-0-11-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x2-0-11-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x2-0-11-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-768-1023-3x1-512-767-3x2-0-11-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-768-1023-3x1-768-1023-3x2-0-11-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x3-0-30-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x3-0-30-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x3-0-30-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x3-0-30-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-768-1023-3x1-512-767-3x3-0-30-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-768-1023-3x1-768-1023-3x3-0-30-0', 'Question']
['p12', '00:27:36', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x4-0-23-0', 'Question']
