['p13', '00:13:43', 'range select', 'geo-0-1', '0-864-902-5_1-1771-1801-5_', 'Sensemaking']
['p13', '00:13:43', 'range select', 'geo-0-1', '0-864-903-5_1-1771-1800-5_', 'Sensemaking']
['p13', '00:13:43', 'range select', 'geo-0-1', '0-864-903-5_1-1771-1799-5_', 'Sensemaking']
['p13', '00:13:43', 'range select', 'geo-0-1', '0-864-903-5_1-1771-1798-5_', 'Sensemaking']
['p13', '00:13:43', 'range select', 'geo-0-1', '0-864-903-5_1-1771-1796-5_', 'Sensemaking']
['p13', '00:13:43', 'range select', 'geo-0-1', '0-864-903-5_1-1771-1794-5_', 'Sensemaking']
['p13', '00:13:43', 'range select', 'geo-0-1', '0-864-903-5_1-1771-1793-5_', 'Sensemaking']
['p13', '00:13:44', 'range select', 'geo-0-1', '0-864-904-5_1-1771-1793-5_', 'Sensemaking']
['p13', '00:13:44', 'range select', 'geo-0-1', '0-864-904-5_1-1771-1794-5_', 'Sensemaking']
['p13', '00:13:44', 'range select', 'geo-0-1', '0-864-904-5_1-1771-1795-5_', 'Sensemaking']
['p13', '00:13:44', 'range select', 'geo-0-1', '0-864-905-5_1-1771-1795-5_', 'Sensemaking']
['p13', '00:13:44', 'range select', 'geo-0-1', '0-864-906-5_1-1771-1796-5_', 'Sensemaking']
['p13', '00:13:44', 'range select', 'geo-0-1', '0-864-907-5_1-1771-1796-5_', 'Sensemaking']
['p13', '00:13:44', 'range select', 'geo-0-1', '0-864-909-5_1-1771-1797-5_', 'Sensemaking']
['p13', '00:13:44', 'range select', 'geo-0-1', '0-864-910-5_1-1771-1797-5_', 'Sensemaking']
['p13', '00:13:44', 'range select', 'geo-0-1', '0-864-911-5_1-1771-1797-5_', 'Sensemaking']
['p13', '00:13:44', 'range select', 'geo-0-1', '0-864-912-5_1-1771-1797-5_', 'Sensemaking']
['p13', '00:13:44', 'range select', 'geo-0-1', '0-864-914-5_1-1771-1797-5_', 'Sensemaking']
['p13', '00:13:44', 'range select', 'geo-0-1', '0-864-915-5_1-1771-1797-5_', 'Sensemaking']
