['p13', '00:02:06', 'zoom', 'geo-0-1', '4', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-26', '0', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-8', '0', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-12', '0', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-6', '0', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-12', '0', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-2', '0', 'Question / Hypothesis']
['p13', '00:02:12', 'pan', 'geo-0-1', '-1', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '2', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '2', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '0', '-1', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '-1', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '-1', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '-1', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '-1', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '0', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '1', '-1', 'Question / Hypothesis']
['p13', '00:02:13', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p13', '00:02:15', 'pan', 'geo-0-1', '-127', '192', 'Exploration']
['p13', '00:02:15', 'zoom', 'geo-0-1', '3', 'Exploration']
['p13', '00:02:15', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p13', '00:02:15', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x2-0-11-0', 'Exploration']
['p13', '00:02:15', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x4-0-23-0', 'Exploration']
['p13', '00:02:15', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x5-0-29-1', 'Exploration']
['p13', '00:02:15', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x3-0-30-0', 'Exploration']
['p13', '00:02:15', 'tile cached', 'undefined', '0-1280-1535-4x1-512-767-4x4-0-23-0', 'Exploration']
['p13', '00:02:15', 'tile cached', 'undefined', '0-1024-1279-4x1-768-1023-4x4-0-23-0', 'Exploration']
['p13', '00:02:15', 'tile cached', 'undefined', '0-1280-1535-4x1-768-1023-4x4-0-23-0', 'Exploration']
['p13', '00:02:15', 'tile cached', 'undefined', '0-1024-1279-4x1-512-767-4x4-0-23-0', 'Exploration']
['p13', '00:02:15', 'tile cached', 'undefined', '0-1536-1791-4x1-768-1023-4x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'pan', 'geo-0-1', '-255', '385', 'Exploration']
['p13', '00:02:16', 'zoom', 'geo-0-1', '4', 'Exploration']
['p13', '00:02:16', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x2-0-11-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x2-0-11-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x2-0-11-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x2-0-11-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x3-0-30-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x3-0-30-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x3-0-30-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x3-0-30-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x5-0-29-1', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x5-0-29-1', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x5-0-29-1', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x5-0-29-1', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-2560-2815-5x1-1280-1535-5x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-2816-3071-5x1-1280-1535-5x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-2560-2815-5x1-1536-1791-5x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-2816-3071-5x1-1536-1791-5x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-3072-3327-5x1-1280-1535-5x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-3072-3327-5x1-1536-1791-5x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-3328-3583-5x1-1280-1535-5x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-3328-3583-5x1-1536-1791-5x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1280-1535-4x1-512-767-4x2-0-11-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1280-1535-4x1-768-1023-4x2-0-11-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1536-1791-4x1-512-767-4x2-0-11-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1536-1791-4x1-768-1023-4x2-0-11-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1280-1535-4x1-512-767-4x3-0-30-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1280-1535-4x1-768-1023-4x3-0-30-0', 'Exploration']
