['p13', '00:00:38', 'tile cached', 'undefined', '0-768-1023-4x1-256-511-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-512-767-4x1-512-767-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-768-1023-4x1-512-767-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-768-1023-4x1-768-1023-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-512-767-4x1-768-1023-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-1024-1279-4x1-256-511-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-1280-1535-4x1-256-511-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-1024-1279-4x1-768-1023-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-1280-1535-4x1-512-767-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-1024-1279-4x1-512-767-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-1280-1535-4x1-768-1023-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'pan', 'geo-0-1', '445', '346', 'Sensemaking']
['p13', '00:00:39', 'zoom', 'geo-0-1', '4', 'Sensemaking']
['p13', '00:00:39', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x2-0-11-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x2-0-11-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-768-1023-3x1-768-1023-3x2-0-11-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-768-1023-3x1-512-767-3x2-0-11-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x2-0-11-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-0-255-3x1-768-1023-3x2-0-11-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x3-0-30-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x3-0-30-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-768-1023-3x1-512-767-3x3-0-30-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-768-1023-3x1-768-1023-3x3-0-30-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x3-0-30-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-0-255-3x1-768-1023-3x3-0-30-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-768-1023-3x1-768-1023-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-768-1023-3x1-512-767-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-0-255-3x1-768-1023-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x5-0-29-1', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x5-0-29-1', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-768-1023-3x1-768-1023-3x5-0-29-1', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-768-1023-3x1-512-767-3x5-0-29-1', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x5-0-29-1', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-0-255-3x1-768-1023-3x5-0-29-1', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-1280-1535-4x1-1024-1279-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-1280-1535-4x1-1280-1535-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-1280-1535-4x1-1536-1791-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-1536-1791-4x1-1024-1279-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-1792-2047-4x1-1280-1535-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-1536-1791-4x1-1280-1535-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-1792-2047-4x1-1024-1279-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-1536-1791-4x1-1536-1791-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-1792-2047-4x1-1536-1791-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-0-255-4x1-1024-1279-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-0-255-4x1-1280-1535-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-256-511-4x1-1024-1279-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-256-511-4x1-1280-1535-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-0-255-4x1-1536-1791-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-256-511-4x1-1536-1791-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-512-767-4x1-768-1023-4x2-0-11-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-512-767-4x1-512-767-4x2-0-11-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-768-1023-4x1-512-767-4x2-0-11-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-768-1023-4x1-768-1023-4x2-0-11-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-1024-1279-4x1-512-767-4x2-0-11-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-1024-1279-4x1-768-1023-4x2-0-11-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-512-767-4x1-512-767-4x3-0-30-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-512-767-4x1-768-1023-4x3-0-30-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-768-1023-4x1-512-767-4x3-0-30-0', 'Sensemaking']
['p13', '00:00:39', 'tile cached', 'undefined', '0-768-1023-4x1-768-1023-4x3-0-30-0', 'Sensemaking']
['p13', '00:00:40', 'tile cached', 'undefined', '0-1024-1279-4x1-512-767-4x3-0-30-0', 'Sensemaking']
['p13', '00:00:40', 'pan', 'geo-0-1', '890', '692', 'Sensemaking']
['p13', '00:00:40', 'zoom', 'geo-0-1', '5', 'Sensemaking']
['p13', '00:00:40', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:40', 'tile cached', 'undefined', '0-512-767-4x1-512-767-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:40', 'tile cached', 'undefined', '0-1024-1279-4x1-768-1023-4x3-0-30-0', 'Sensemaking']
['p13', '00:00:40', 'tile cached', 'undefined', '0-512-767-4x1-768-1023-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:40', 'tile cached', 'undefined', '0-768-1023-4x1-512-767-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:40', 'tile cached', 'undefined', '0-768-1023-4x1-768-1023-4x4-0-23-0', 'Sensemaking']
