['p9', '00:00:20', 'clear', 'undefined', 'undefined', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-256-511-4x1-1280-1535-4x2-0-11-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-512-767-4x1-1280-1535-4x2-0-11-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-256-511-4x1-1536-1791-4x2-0-11-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-512-767-4x1-1536-1791-4x2-0-11-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-768-1023-4x1-1280-1535-4x2-0-11-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-768-1023-4x1-1536-1791-4x2-0-11-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-256-511-4x1-1280-1535-4x3-0-30-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-256-511-4x1-1536-1791-4x3-0-30-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-512-767-4x1-1280-1535-4x3-0-30-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-512-767-4x1-1536-1791-4x3-0-30-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-768-1023-4x1-1280-1535-4x3-0-30-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-768-1023-4x1-1536-1791-4x3-0-30-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-256-511-4x1-1280-1535-4x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-256-511-4x1-1536-1791-4x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-512-767-4x1-1280-1535-4x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-512-767-4x1-1536-1791-4x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-768-1023-4x1-1280-1535-4x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-768-1023-4x1-1536-1791-4x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-512-767-5x1-1280-1535-5x5-0-29-1', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-256-511-5x1-1280-1535-5x5-0-29-1', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-768-1023-5x1-2816-3071-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-768-1023-5x1-3072-3327-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-768-1023-5x1-3328-3583-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-1024-1279-5x1-2816-3071-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-1280-1535-5x1-2816-3071-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-1024-1279-5x1-3072-3327-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-1024-1279-5x1-3328-3583-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-1280-1535-5x1-3072-3327-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-1280-1535-5x1-3328-3583-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-1536-1791-5x1-2816-3071-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-1792-2047-5x1-2816-3071-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-1536-1791-5x1-3072-3327-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-1536-1791-5x1-3328-3583-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-1792-2047-5x1-3072-3327-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-1792-2047-5x1-3328-3583-5x4-0-23-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-256-511-5x1-1536-1791-5x5-0-29-1', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-512-767-5x1-1536-1791-5x5-0-29-1', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-768-1023-5x1-1280-1535-5x5-0-29-1', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-768-1023-5x1-1536-1791-5x5-0-29-1', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-256-511-5x1-1280-1535-5x2-0-11-0', 'Exploration']
['p9', '00:01:49', 'tile cached', 'undefined', '0-256-511-5x1-1536-1791-5x2-0-11-0', 'Exploration']
