['p17', '00:19:50', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:50', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '3', '1', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '4', '1', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:51', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '5', '1', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '4', '1', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '6', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '7', '1', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '5', '1', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:52', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '5', '-1', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '9', '-1', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '7', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '8', '-2', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '12', '-1', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '14', '-2', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '13', '-1', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '8', '-1', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '9', '-2', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '5', '-1', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '6', '-2', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '4', '-1', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '-509', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:53', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '4', '1', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '6', '0', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '7', '-2', 'Sensemaking']
