Time,State,action,reward,visualization,subtask,raw_actions
00:10:55,(Sensemaking+scatterplot-0-1),generalization,0.0,scatterplot-0-1,6,pan
00:11:03,(Sensemaking+scatterplot-0-1),generalization,0.0,scatterplot-0-1,6,range select
00:11:04,(Sensemaking+scatterplot-0-1),generalization,0.0,scatterplot-0-1,6,range select
00:11:05,(Sensemaking+scatterplot-0-1),generalization,0.0,scatterplot-0-1,6,range select
00:11:23,(Sensemaking+scatterplot-0-1),generalization,0.0,scatterplot-0-1,6,pan
00:11:24,(Sensemaking+scatterplot-0-1),generalization,0.0,scatterplot-0-1,6,pan
00:11:29,(Sensemaking+bar-4),generalization,0.0,bar-4,6,range select
00:11:32,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,6,zoom
00:11:33,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,6,zoom
00:11:34,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,6,zoom
00:11:35,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,6,pan
00:12:47,(Sensemaking+bar-4),observation,0.0,bar-4,6,range select
00:12:50,(Sensemaking+bar-4),observation,0.25,bar-4,6,range select
00:12:53,(Sensemaking+bar-4),observation,0.0,bar-4,6,range select
00:12:54,(Sensemaking+bar-4),observation,0.25,bar-4,6,range select
00:12:56,(Sensemaking+bar-4),observation,0.25,bar-4,6,range select
00:12:57,(Sensemaking+bar-4),observation,0.25,bar-4,6,range select
00:12:58,(Sensemaking+bar-4),observation,0.25,bar-4,6,range select
00:12:59,(Sensemaking+bar-4),observation,0.25,bar-4,6,range select
00:13:04,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,6,zoom
00:13:05,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,6,zoom
00:13:09,(Question+scatterplot-0-1),observation,0.0,scatterplot-0-1,76,pan
00:15:25,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,6,pan
00:15:26,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,6,pan
00:15:27,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,6,zoom
00:15:28,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,6,zoom
00:15:29,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,6,pan
00:15:30,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,6,pan
00:15:37,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,6,pan
00:17:11,(Sensemaking+bar-4),observation,0.5,bar-4,6,range select
00:17:45,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,6,pan
00:17:46,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,7,pan
00:17:47,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,7,pan
00:17:48,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,7,pan
00:17:51,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,7,pan
00:17:52,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,7,pan
00:17:53,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,7,pan
