['p8', '00:38:05', 'pan', 'geo-0-1', '0', '-3', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '0', '-2', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p8', '00:38:05', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-312-4_1-706-706-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-328-4_1-706-715-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-330-4_1-706-717-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-336-4_1-706-720-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-342-4_1-706-724-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-352-4_1-706-730-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-357-4_1-706-733-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-364-4_1-706-736-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-370-4_1-706-741-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-376-4_1-706-743-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-381-4_1-706-745-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-385-4_1-706-748-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-388-4_1-706-749-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-397-4_1-706-755-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-400-4_1-706-757-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-402-4_1-706-758-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-405-4_1-706-760-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-408-4_1-706-763-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-411-4_1-706-765-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-421-4_1-706-770-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-441-4_1-706-778-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-448-4_1-706-780-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-456-4_1-706-783-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-462-4_1-706-785-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-480-4_1-706-788-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-487-4_1-706-790-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-501-4_1-706-793-4_', 'Sensemaking']
