['p8', '00:39:38', 'repaintBg', 'color slider', '127026-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '127026-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '123250-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '123250-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '119096-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '119096-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '112677-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '112677-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '110412-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '110412-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '107768-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '107768-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '104748-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '104748-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '102105-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '102105-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '100217-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '100217-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '97573-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '97573-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '95685-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '95685-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '94175-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '94175-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '93420-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '93420-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '92665-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '92665-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '90777-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '90777-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintBg', 'color slider', '90022-227312', 'Sensemaking']
['p8', '00:39:38', 'repaintFg', 'color slider', '90022-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '88134-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '88134-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '86623-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '86623-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '85113-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '85113-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '83225-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '83225-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '82092-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '82092-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '81337-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '81337-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '80959-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '80959-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '80204-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '80204-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '79449-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '79449-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '78694-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '78694-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '77939-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '77939-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '76428-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '76428-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '76051-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '76051-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '74163-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '74163-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '72652-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '72652-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '71519-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '71519-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '69254-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '69254-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '68499-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '68499-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '67744-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '67744-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '66233-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '66233-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '65856-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '65856-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '64345-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '64345-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '63212-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '63212-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '62835-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '62835-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '62080-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '62080-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '61702-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '61702-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '61324-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '61324-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '59814-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '59814-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '59059-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '59059-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '58681-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '58681-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '57926-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '57926-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '56793-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '56793-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintBg', 'color slider', '55661-227312', 'Sensemaking']
['p8', '00:39:39', 'repaintFg', 'color slider', '55661-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '54905-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '54905-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '54150-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '54150-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '53395-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '53395-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '53017-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '53017-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '52640-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '52640-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '52262-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '52262-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '51885-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '51885-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '50374-227312', 'Sensemaking']
