['p5', '00:03:39', 'repaintFg', 'log scale', 'false', 'Sensemaking']
['p5', '00:05:02', 'pan', 'geo-0-1', '0', '-2', 'Sensemaking']
['p5', '00:05:02', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:05:02', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:02', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:05:02', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:05:02', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '-2', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '-8', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '-4', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '-10', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '-2', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '-3', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '-2', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '-3', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:05:03', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:03', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p5', '00:05:04', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:04', 'pan', 'geo-0-1', '6', '1', 'Sensemaking']
['p5', '00:05:04', 'pan', 'geo-0-1', '6', '2', 'Sensemaking']
['p5', '00:05:04', 'pan', 'geo-0-1', '8', '1', 'Sensemaking']
['p5', '00:05:04', 'pan', 'geo-0-1', '8', '0', 'Sensemaking']
['p5', '00:05:04', 'pan', 'geo-0-1', '17', '1', 'Sensemaking']
['p5', '00:05:04', 'pan', 'geo-0-1', '11', '0', 'Sensemaking']
['p5', '00:05:04', 'pan', 'geo-0-1', '10', '1', 'Sensemaking']
['p5', '00:05:04', 'pan', 'geo-0-1', '6', '1', 'Sensemaking']
['p5', '00:05:04', 'pan', 'geo-0-1', '2', '1', 'Sensemaking']
['p5', '00:05:04', 'pan', 'geo-0-1', '2', '3', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '4', '1', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '5', '3', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '6', '5', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '6', '6', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '4', '5', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '-509', '6', 'Sensemaking']
