Time,State,action,reward,visualization,subtask,raw_actions
00:28:18,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:18,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:18,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:18,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:18,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:18,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:18,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:18,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:19,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:19,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:20,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:21,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:21,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:21,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:21,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:21,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:21,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:21,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:21,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:21,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:21,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:21,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:21,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:22,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:22,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:22,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:22,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:22,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:22,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:22,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:23,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:24,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:24,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:24,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
00:28:24,(Sensemaking+bar-2),observation,0.25,bar-2,2,brush
