['p12', '00:43:51', 'repaintFg', 'log scale', 'false', 'Sensemaking']
['p12', '00:44:42', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:42', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p12', '00:44:42', 'pan', 'geo-0-1', '-7', '-1', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '-11', '-2', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '-15', '-3', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '-5', '0', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '-1', '4', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '-2', '2', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '-1', '3', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '1', '-3', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '1', '-6', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '2', '-12', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '0', '-6', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '0', '-10', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '0', '-3', 'Sensemaking']
['p12', '00:44:43', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:44', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p12', '00:44:44', 'pan', 'geo-0-1', '-6', '-2', 'Sensemaking']
['p12', '00:44:44', 'pan', 'geo-0-1', '-7', '-6', 'Sensemaking']
['p12', '00:44:44', 'pan', 'geo-0-1', '-18', '-15', 'Sensemaking']
['p12', '00:44:44', 'pan', 'geo-0-1', '-64', '-58', 'Sensemaking']
['p12', '00:44:45', 'pan', 'geo-0-1', '-40', '-41', 'Exploration']
