['p4', '00:22:58', 'repaintFg', 'color slider', '29984-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '30362-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '30362-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '32250-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '32250-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '36403-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '36403-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '40557-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '40557-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '45088-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '45088-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '49241-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '49241-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '54528-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '54528-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '61324-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '61324-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '67744-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '67744-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '73785-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '73785-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '81714-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '81714-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '89644-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '89644-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '97573-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '97573-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '108524-227312', 'Drill-Down']
